id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
40,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
41,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
42,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
43,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
44,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
45,42 Draconis b,296,3.88 Jupiters,4.8262,2008
46,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
47,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
48,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
49,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
50,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
51,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
52,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
53,14 Herculis b,58,8.053 Jupiters,6.61935,2002
54,16 Cygni B b,69,1.78 Jupiters,6.215,1996
55,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
56,18 Delphini b,249,9.207 Jupiters,5.51048,2008
57,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
58,24 Bootis b,313,0.883 Jupiters,5.59,2018
59,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
60,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
61,2M0437 b,419,4 Jupiters,16.186,2021
62,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
63,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
64,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
65,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
66,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
67,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
68,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
69,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
70,42 Draconis b,296,3.88 Jupiters,4.8262,2008
71,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
72,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
73,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
74,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
75,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
76,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
77,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
78,14 Herculis b,58,8.053 Jupiters,6.61935,2002
79,16 Cygni B b,69,1.78 Jupiters,6.215,1996
80,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
81,18 Delphini b,249,9.207 Jupiters,5.51048,2008
82,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
83,24 Bootis b,313,0.883 Jupiters,5.59,2018
84,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
85,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
86,2M0437 b,419,4 Jupiters,16.186,2021
87,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
88,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
89,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
90,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
91,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
92,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
93,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
94,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
95,42 Draconis b,296,3.88 Jupiters,4.8262,2008
96,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
97,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
98,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
99,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
100,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
101,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
102,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
103,14 Herculis b,58,8.053 Jupiters,6.61935,2002
104,16 Cygni B b,69,1.78 Jupiters,6.215,1996
105,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
106,18 Delphini b,249,9.207 Jupiters,5.51048,2008
107,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
108,24 Bootis b,313,0.883 Jupiters,5.59,2018
109,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
110,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
111,2M0437 b,419,4 Jupiters,16.186,2021
112,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
113,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
114,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
115,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
116,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
117,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
118,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
119,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
120,42 Draconis b,296,3.88 Jupiters,4.8262,2008
121,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
122,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
123,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
124,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
125,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
126,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
127,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
128,14 Herculis b,58,8.053 Jupiters,6.61935,2002
129,16 Cygni B b,69,1.78 Jupiters,6.215,1996
130,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
131,18 Delphini b,249,9.207 Jupiters,5.51048,2008
132,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
133,24 Bootis b,313,0.883 Jupiters,5.59,2018
134,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
135,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
136,2M0437 b,419,4 Jupiters,16.186,2021
137,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
138,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
139,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
140,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
141,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
142,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
143,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
144,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
145,42 Draconis b,296,3.88 Jupiters,4.8262,2008
146,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
147,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
148,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
149,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
150,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
151,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
152,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
153,14 Herculis b,58,8.053 Jupiters,6.61935,2002
154,16 Cygni B b,69,1.78 Jupiters,6.215,1996
155,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
156,18 Delphini b,249,9.207 Jupiters,5.51048,2008
157,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
158,24 Bootis b,313,0.883 Jupiters,5.59,2018
159,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
160,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
161,2M0437 b,419,4 Jupiters,16.186,2021
162,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
163,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
164,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
165,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
166,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
167,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
168,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
169,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
170,42 Draconis b,296,3.88 Jupiters,4.8262,2008
171,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
172,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
173,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
174,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
175,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
176,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
177,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
178,14 Herculis b,58,8.053 Jupiters,6.61935,2002
179,16 Cygni B b,69,1.78 Jupiters,6.215,1996
180,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
181,18 Delphini b,249,9.207 Jupiters,5.51048,2008
182,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
183,24 Bootis b,313,0.883 Jupiters,5.59,2018
184,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
185,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
186,2M0437 b,419,4 Jupiters,16.186,2021
187,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
188,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
189,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
190,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
191,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
192,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
193,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
194,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
195,42 Draconis b,296,3.88 Jupiters,4.8262,2008
196,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
197,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
198,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
199,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
200,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
201,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
202,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
203,14 Herculis b,58,8.053 Jupiters,6.61935,2002
204,16 Cygni B b,69,1.78 Jupiters,6.215,1996
205,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
206,18 Delphini b,249,9.207 Jupiters,5.51048,2008
207,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
208,24 Bootis b,313,0.883 Jupiters,5.59,2018
209,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
210,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
211,2M0437 b,419,4 Jupiters,16.186,2021
212,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
213,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
214,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
215,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
216,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
217,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
218,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
219,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
220,42 Draconis b,296,3.88 Jupiters,4.8262,2008
221,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
222,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
223,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
224,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
225,51 Eridani b,97,2 Jupiters,5.21149,2015
226,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
227,55 Cancri b,41,0.8306 Jupiters,5.96,1996
228,55 Cancri c,41,0.1714 Jupiters,5.96,2004
229,55 Cancri d,41,3.878 Jupiters,5.96,2002
230,55 Cancri e,41,7.99 Earths,5.96,2004
231,55 Cancri f,41,0.141 Jupiters,5.96,2007
232,61 Virginis b,28,5.1 Earths,4.735,2009
233,61 Virginis c,28,18.2 Earths,4.735,2009
234,61 Virginis d,28,22.9 Earths,4.735,2009
235,6 Lyncis b,178,1.881 Jupiters,5.87307,2008
236,70 Virginis b,58,7.49 Jupiters,4.96808,1996
237,75 Ceti b,271,2.479 Jupiters,5.3532,2012
238,75 Ceti c,271,0.912 Jupiters,5.3532,2023
239,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
240,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
241,81 Ceti b,330,3.307 Jupiters,5.64307,2008
242,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
243,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
244,AB Aurigae b,529,9 Jupiters,7.076,2022
245,AB Pictoris b,163,13.5 Jupiters,9.13,2005
246,AF Leporis b,88,3.2 Jupiters,6.332,2023
247,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
248,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
249,AU Microscopii b,32,20.12 Earths,8.81,2020
250,51 Eridani b,97,2 Jupiters,5.21149,2015
251,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
252,55 Cancri b,41,0.8306 Jupiters,5.96,1996
253,55 Cancri c,41,0.1714 Jupiters,5.96,2004
254,55 Cancri d,41,3.878 Jupiters,5.96,2002
255,55 Cancri e,41,7.99 Earths,5.96,2004
256,55 Cancri f,41,0.141 Jupiters,5.96,2007
257,61 Virginis b,28,5.1 Earths,4.735,2009
258,61 Virginis c,28,18.2 Earths,4.735,2009
259,61 Virginis d,28,22.9 Earths,4.735,2009
260,6 Lyncis b,178,1.881 Jupiters,5.87307,2008
261,70 Virginis b,58,7.49 Jupiters,4.96808,1996
262,75 Ceti b,271,2.479 Jupiters,5.3532,2012
263,75 Ceti c,271,0.912 Jupiters,5.3532,2023
264,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
265,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
266,81 Ceti b,330,3.307 Jupiters,5.64307,2008
267,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
268,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
269,AB Aurigae b,529,9 Jupiters,7.076,2022
270,AB Pictoris b,163,13.5 Jupiters,9.13,2005
271,AF Leporis b,88,3.2 Jupiters,6.332,2023
272,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
273,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
274,AU Microscopii b,32,20.12 Earths,8.81,2020
275,AU Microscopii c,32,9.6 Earths,8.81,2021
276,b Centauri AB b,320,10.9 Jupiters,4.01,2021
277,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
278,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
279,BD-06 1339 b,66,8.5 Earths,9.7,2013
280,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
281,BD-08 2823 b,135,12.7132 Earths,9.86,2009
282,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
283,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
284,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
285,BD-11 4672 c,89,15.37 Earths,10.03,2020
286,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
287,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
288,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
289,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
290,BD-17 63 b,112,5.1 Jupiters,9.62,2008
291,BD+20 2457 b,5023,21.42 Jupiters,9.743,2009
292,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
293,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
294,BD+20 594 b,585,22.2481 Earths,10.849,2016
295,BD-210397 b,77,0.7 Jupiters,9.84,2023
296,BD-210397 c,77,4.8 Jupiters,9.84,2023
297,BD+45 564 b,175,1.36 Jupiters,9.67,2021
298,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
299,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
300,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
301,BD+55 362 b,171,0.72 Jupiters,9.38,2021
302,BD+60 1417 b,147,15 Jupiters,9.374,2021
303,BD+63 1405 b,124,10.4 Jupiters,8.96,2021
304,Beta Cancri b,290,7.8 Jupiters,3.51012,2014
305,Beta Pictoris b,64,11.729 Jupiters,3.85,2008
306,Beta Pictoris c,64,10.139 Jupiters,3.85,2019
307,Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014
308,CD Ceti b,28,3.95 Earths,13.95,2020
309,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
310,CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021
311,CHXR 73 b,621,12.569 Jupiters,,2006
312,CI Tauri b,515,11.6 Jupiters,13.642,2019
313,COCONUTS-2 b,36,6.3 Jupiters,11.298,2021
314,CoRoT-10 b,1104,2.75 Jupiters,15.293,2010
315,CoRoT-11 b,2137,2.33 Jupiters,12.897,2010
316,CoRoT-12 b,3674,0.917 Jupiters,15.588,2010
317,CoRoT-13 b,3748,1.308 Jupiters,15.005,2010
318,CoRoT-14 b,5691,7.6 Jupiters,15.932,2010
319,CoRoT-16 b,2389,0.535 Jupiters,16.052,2011
320,CoRoT-17 b,3837,2.43 Jupiters,16.29,2011
321,CoRoT-18 b,2495,3.47 Jupiters,14.868,2011
322,CoRoT-19 b,2579,1.11 Jupiters,14.135,2011
323,CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
324,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
325,EPIC 206024342 b,1207,3.53 Earths,13.096,2019
326,EPIC 206024342 c,1207,2.54 Earths,13.096,2021
327,EPIC 206024342 d,1207,7.27 Earths,13.096,2021
328,EPIC 206032309 b,526,1.01 Earths,17.89,2019
329,EPIC 206042996 b,1474,3.53 Earths,16.59,2019
330,EPIC 206042996 c,1474,1.87 Earths,16.59,2021
331,EPIC 206215704 b,358,0.972 Earths,17.83,2019
332,EPIC 206317286 b,1025,0.84 Earths,14.005,2019
333,EPIC 206317286 c,1025,5.03 Earths,14.005,2022
334,EPIC 211822797 b,607,4.35 Earths,15.133,2016
335,EPIC 211945201 b,593,27 Earths,10.154,2018
336,EPIC 212297394 b,1365,2.79 Earths,14.611,2019
337,EPIC 212297394 c,1365,5.77 Earths,14.611,2016
338,EPIC 212424622 b,1996,5.35 Earths,13.441,2019
339,EPIC 212499991 b,924,3.19 Earths,13.672,2019
340,EPIC 212587672 b,1044,2.13 Earths,12.488,2019
341,EPIC 212587672 c,1044,5.99 Earths,12.488,2016
342,EPIC 212624936 b,1833,1.87 Earths,13.976,2021
343,EPIC 212624936 c,1833,5.9 Earths,13.976,2021
344,EPIC 212737443 b,1097,7.2 Earths,14.81,2019
345,EPIC 212737443 c,1097,7.7 Earths,14.81,2019
346,EPIC 220492298 b,2037,0.937 Earths,13.991,2021
347,EPIC 220554210 c,1619,3.19 Earths,14.21,2019
348,EPIC 220674823 b,798,8.21 Earths,12.101,2016
349,EPIC 220674823 c,798,8.9 Earths,12.101,2016
350,EPIC 206024342 b,1207,3.53 Earths,13.096,2019
351,EPIC 206024342 c,1207,2.54 Earths,13.096,2021
352,EPIC 206024342 d,1207,7.27 Earths,13.096,2021
353,EPIC 206032309 b,526,1.01 Earths,17.89,2019
354,EPIC 206042996 b,1474,3.53 Earths,16.59,2019
355,EPIC 206042996 c,1474,1.87 Earths,16.59,2021
356,EPIC 206215704 b,358,0.972 Earths,17.83,2019
357,EPIC 206317286 b,1025,0.84 Earths,14.005,2019
358,EPIC 206317286 c,1025,5.03 Earths,14.005,2022
359,EPIC 211822797 b,607,4.35 Earths,15.133,2016
360,EPIC 211945201 b,593,27 Earths,10.154,2018
361,EPIC 212297394 b,1365,2.79 Earths,14.611,2019
362,EPIC 212297394 c,1365,5.77 Earths,14.611,2016
363,EPIC 212424622 b,1996,5.35 Earths,13.441,2019
364,EPIC 212499991 b,924,3.19 Earths,13.672,2019
365,EPIC 212587672 b,1044,2.13 Earths,12.488,2019
366,EPIC 212587672 c,1044,5.99 Earths,12.488,2016
367,EPIC 212624936 b,1833,1.87 Earths,13.976,2021
368,EPIC 212624936 c,1833,5.9 Earths,13.976,2021
369,EPIC 212737443 b,1097,7.2 Earths,14.81,2019
370,EPIC 212737443 c,1097,7.7 Earths,14.81,2019
371,EPIC 220492298 b,2037,0.937 Earths,13.991,2021
372,EPIC 220554210 c,1619,3.19 Earths,14.21,2019
373,EPIC 220674823 b,798,8.21 Earths,12.101,2016
374,EPIC 220674823 c,798,8.9 Earths,12.101,2016
375,EPIC 228836835 b,490,1.37 Earths,16.77,2021
376,EPIC 229004835 b,398,10.4 Earths,10.23,2023
377,EPIC 246851721 b,1216,3 Jupiters,11.237,2018
378,EPIC 248847494 b,1800,13 Jupiters,12.353,2018
379,EPIC 249893012 b,1048,8.75 Earths,11.429,2020
380,EPIC 249893012 c,1048,14.67 Earths,11.429,2020
381,EPIC 249893012 d,1048,10.18 Earths,11.429,2020
382,Epsilon Coronae Borealis b,228,6.7 Jupiters,4.12577,2012
383,Epsilon Eridani b,10,0.66 Jupiters,3.718,2000
384,Epsilon Indi A b,12,3.25 Jupiters,4.674,2019
385,Epsilon Tauri b,155,7.19 Jupiters,3.523,2006
386,FU Tauri b,435,16 Jupiters,,2008
387,G 264-012 b,52,2.5 Earths,13.078,2021
388,G 264-012 c,52,3.75 Earths,13.078,2021
389,G 9-40 b,91,11.7 Earths,13.821,2019
390,Gaia-1 b,1186,1.68 Jupiters,13.242,2022
391,Gaia-2 b,683,0.817 Jupiters,11.277,2022
392,gam1 Leonis b,130,8.78 Jupiters,1.99509,2009
393,Gamma Cephei b,46,9.4 Jupiters,3.23006,2003
394,Gamma Librae b,155,1.126 Jupiters,3.90672,2018
395,Gamma Librae c,155,5.231 Jupiters,3.90672,2018
396,Gamma Piscium b,135,1.34 Jupiters,3.69252,2021
397,GJ 1002 b,16,1.08 Earths,13.76,2022
398,GJ 1002 c,16,1.36 Earths,13.76,2022
399,GJ 1061 b,12,1.37 Earths,12.7,2020
400,EPIC 228836835 b,490,1.37 Earths,16.77,2021
401,EPIC 229004835 b,398,10.4 Earths,10.23,2023
402,EPIC 246851721 b,1216,3 Jupiters,11.237,2018
403,EPIC 248847494 b,1800,13 Jupiters,12.353,2018
404,EPIC 249893012 b,1048,8.75 Earths,11.429,2020
405,EPIC 249893012 c,1048,14.67 Earths,11.429,2020
406,EPIC 249893012 d,1048,10.18 Earths,11.429,2020
407,Epsilon Coronae Borealis b,228,6.7 Jupiters,4.12577,2012
408,Epsilon Eridani b,10,0.66 Jupiters,3.718,2000
409,Epsilon Indi A b,12,3.25 Jupiters,4.674,2019
410,Epsilon Tauri b,155,7.19 Jupiters,3.523,2006
411,FU Tauri b,435,16 Jupiters,,2008
412,G 264-012 b,52,2.5 Earths,13.078,2021
413,G 264-012 c,52,3.75 Earths,13.078,2021
414,G 9-40 b,91,11.7 Earths,13.821,2019
415,Gaia-1 b,1186,1.68 Jupiters,13.242,2022
416,Gaia-2 b,683,0.817 Jupiters,11.277,2022
417,gam1 Leonis b,130,8.78 Jupiters,1.99509,2009
418,Gamma Cephei b,46,9.4 Jupiters,3.23006,2003
419,Gamma Librae b,155,1.126 Jupiters,3.90672,2018
420,Gamma Librae c,155,5.231 Jupiters,3.90672,2018
421,Gamma Piscium b,135,1.34 Jupiters,3.69252,2021
422,GJ 1002 b,16,1.08 Earths,13.76,2022
423,GJ 1002 c,16,1.36 Earths,13.76,2022
424,GJ 1061 b,12,1.37 Earths,12.7,2020
425,GJ 1061 c,12,1.74 Earths,12.7,2020
426,GJ 1061 d,12,1.64 Earths,12.7,2020
427,GJ 1132 b,41,1.66 Earths,13.68,2015
428,GJ 1132 c,41,2.64 Earths,13.68,2018
429,GJ 1148 b,36,0.30425 Jupiters,11.939,2010
430,GJ 1148 c,36,0.21414 Jupiters,11.939,2017
431,GJ 1151 c,26,10.62 Earths,13.76,2023
432,GJ 1214 b,48,8.17 Earths,15.1,2009
433,GJ 1252 b,66,1.32 Earths,12.68,2020
434,GJ 1265 b,33,7.4 Earths,14.01,2018
435,GJ 143 b,53,22.7 Earths,8.08,2019
436,GJ 15 A b,12,3.03 Earths,8.09,2014
437,GJ 15 A c,12,36 Earths,8.09,2018
438,GJ 160.2 b,84,10.2 Earths,9.7,2014
439,GJ 163 b,49,10.6 Earths,11.79,2013
440,GJ 163 c,49,6.8 Earths,11.79,2013
441,GJ 163 d,49,29.4 Earths,11.79,2013
442,GJ 179 b,40,0.95 Jupiters,11.963,2009
443,GJ 180 b,39,6.49 Earths,10.914,2014
444,GJ 180 c,39,6.4 Earths,10.914,2014
